record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
73,222Martinez 1998,Clamator_glandarius,1993,3,6,1,1,-3.05,37.18
74,35Alderson1999,Molothrus_ater,1994,5,7,1,1,-98.38,50.18
75,230Martínez2013,Myiopsitta_monachus,2000,11,12,1,1,-62.82,-31.67
76,216Dale1999,Phalaropus_fulicarius,1993,6,7,1,1,81.82,69.4
77,280Heer1996,Prunella_collaris,1993,5,7,1,1,7.63,46.2
78,100Kimwele2002,Struthio_camelus,1998,7,12,1,1,36.8,-1.4
79,128Green2002,Acanthiza_pusilla,1995,7,12,1,1,149.1,-35.27
80,128Green2002,Acanthiza_pusilla,1996,7,12,1,1,149.1,-35.27
81,128Green2002,Acanthiza_pusilla,1997,7,12,1,1,149.1,-35.27
82,389Rosenfield2015,Accipiter_cooperii,2003,2,4,1,1,-90.05,44.97
83,389Rosenfield2015,Accipiter_cooperii,2004,2,4,1,1,-90.05,44.97
84,389Rosenfield2015,Accipiter_cooperii,2007,2,4,1,1,-90.05,44.97
85,52Leisler2000,Acrocephalus_arundinaceus,1992,5,7,1,1,10.85,49.67
86,52Leisler2000,Acrocephalus_arundinaceus,1994,5,7,1,1,10.85,49.67
87,52Leisler2000,Acrocephalus_arundinaceus,1995,5,7,1,1,10.85,49.67
88,52Leisler2000,Acrocephalus_arundinaceus,1996,5,7,1,1,10.85,49.67
89,52Leisler2000,Acrocephalus_arundinaceus,1997,5,7,1,1,10.85,49.67
90,36Arlt2004,Acrocephalus_arundinaceus,1994,5,7,1,1,15.25,59.1
91,36Arlt2004,Acrocephalus_arundinaceus,1995,5,7,1,1,15.25,59.1
92,36Arlt2004,Acrocephalus_arundinaceus,1996,5,7,1,1,15.25,59.1
93,36Arlt2004,Acrocephalus_arundinaceus,1997,5,7,1,1,15.25,59.1
94,36Arlt2004,Acrocephalus_arundinaceus,1998,5,7,1,1,15.25,59.1
95,20Langefors1998,Acrocephalus_schoenobaenus,1990,5,7,1,1,15.42,59.17
96,20Langefors1998,Acrocephalus_schoenobaenus,1991,5,7,1,1,15.42,59.17
97,20Langefors1998,Acrocephalus_schoenobaenus,1992,5,7,1,1,15.42,59.17
98,380Marshall2007,Acrocephalus_schoenobaenus,1993,5,7,1,1,-0.55,51.45
99,380Marshall2007,Acrocephalus_schoenobaenus,1994,5,7,1,1,-0.55,51.45
100,380Marshall2007,Acrocephalus_schoenobaenus,1995,5,7,1,1,-0.55,51.45
101,380Marshall2007,Acrocephalus_schoenobaenus,1996,5,7,1,1,-0.55,51.45
102,380Marshall2007,Acrocephalus_schoenobaenus,1997,5,7,1,1,-0.55,51.45
103,380Marshall2007,Acrocephalus_schoenobaenus,1998,5,7,1,1,-0.55,51.45
104,25Mee2004,Actitis_hypoleucos,1998,4,6,1,1,-3.02,54.75
105,25Mee2004,Actitis_hypoleucos,1999,4,6,1,1,-3.02,54.75
106,237Hutchinson2007,Alauda_arvensis,1997,4,7,1,1,-4.63,51.17
107,237Hutchinson2007,Alauda_arvensis,1998,4,7,1,1,-4.63,51.17
108,237Hutchinson2007,Alauda_arvensis,1999,4,7,1,1,-4.63,51.17
109,237Hutchinson2007,Alauda_arvensis,2000,4,7,1,1,-4.63,51.17
110,10Casey2011,Bartramia_longicauda,2003,5,6,1,1,-96.58,39.08
111,10Casey2011,Bartramia_longicauda,2004,5,6,1,1,-96.58,39.08
112,10Casey2011,Bartramia_longicauda,2005,5,6,1,1,-96.58,39.08
