"epp_row_id","latitude","longitude","year","first_month"
"77","46.2","7.63","1993","5"
"78","-1.4","36.8","1998","7"
"79","-35.27","149.1","1995","7"
"80","-35.27","149.1","1996","7"
"81","-35.27","149.1","1997","7"
"82","44.97","-90.05","2003","2"
"83","44.97","-90.05","2004","2"
"84","44.97","-90.05","2007","2"
"85","49.67","10.85","1992","5"
"86","49.67","10.85","1994","5"
"87","49.67","10.85","1995","5"
"88","49.67","10.85","1996","5"
"89","49.67","10.85","1997","5"
"90","59.1","15.25","1994","5"
"91","59.1","15.25","1995","5"
"92","59.1","15.25","1996","5"
"93","59.1","15.25","1997","5"
"94","59.1","15.25","1998","5"
"95","59.17","15.42","1990","5"
"96","59.17","15.42","1991","5"
"97","59.17","15.42","1992","5"
"98","51.45","-0.55","1993","5"
"99","51.45","-0.55","1994","5"
"100","51.45","-0.55","1995","5"
"101","51.45","-0.55","1996","5"
"102","51.45","-0.55","1997","5"
"103","51.45","-0.55","1998","5"
"104","54.75","-3.02","1998","4"
"105","54.75","-3.02","1999","4"
"106","51.17","-4.63","1997","4"
"107","51.17","-4.63","1998","4"
"108","51.17","-4.63","1999","4"
"109","51.17","-4.63","2000","4"
"110","39.08","-96.58","2003","5"
"111","39.08","-96.58","2004","5"
"112","39.08","-96.58","2005","5"
"113","39.08","-96.58","2006","5"
"114","39.08","-96.58","2007","5"
"115","43","-84","2000","3"
"116","43","-84","2001","3"
"117","43","-84","2002","3"
"118","57.28","18.75","1989","5"
"119","57.28","18.75","1990","5"
"120","57.28","18.75","1991","5"
"121","74.5","-21","2003","5"
"122","74.5","-21","2007","5"
"123","74.5","-21","2008","5"
"124","74.5","-21","2009","5"
"125","74.5","-21","2010","5"
"126","74.5","-21","2011","5"
"127","36.92","-25.17","2002","3"
"128","36.92","-25.17","2003","3"
"129","56.5","10.83","1998","4"
"130","56.5","10.83","1999","4"
"131","58.75","-95.07","1996","6"
"132","58.75","-95.07","1997","6"
"133","37.3","-3.18","2007","5"
"134","37.3","-3.18","2008","5"
"135","37.3","-3.18","2009","5"
"136","37.3","-3.18","2010","5"
"137","37.3","-3.18","2011","5"
"138","40.98","-124","2006","3"
"139","40.98","-124","2007","3"
"140","40.98","-124","2008","3"
"141","-41.05","-62.8","1998","10"
"142","-41.05","-62.8","1999","10"
"143","-37.55","14.82","1999","7"
"144","-37.55","14.82","2000","7"
"145","-37.55","14.82","2001","7"
"146","43.93","-71.75","1995","5"
"147","43.93","-71.75","1996","5"
"148","43.93","-71.75","1997","5"
"149","43.93","-71.75","1998","5"
"150","43.93","-71.75","1995","5"
"151","43.93","-71.75","1996","5"
"152","-54","-38","1998","12"
"153","-54","-38","1999","12"
"154","-46.87","37.68","2007","11"
"155","-46.87","37.68","2008","11"
"156","-46.87","37.68","2009","11"
"157","39","-76","2008","5"
"158","39","-76","2009","5"
"159","51.75","4.75","2002","2"
"160","51.75","4.75","2003","2"
"161","47","8","2002","3"
"162","47","8","2003","3"
"163","47","8","2004","3"
"164","47","8","2005","3"
"165","35.65","-118.03","1997","5"
"166","35.65","-118.03","1998","5"
"167","35.65","-118.03","1999","5"
"168","35.65","-118.03","2000","5"
"169","35.65","-118.03","2001","5"
"170","35.65","-118.03","2002","5"
"171","41.77","-79.93","1997","5"
"172","41.77","-79.93","2000","5"
"173","41.77","-79.93","2001","5"
"174","41.77","-79.93","2002","5"
"175","-15.57","128","2008","2"
"176","-15.57","128","2009","2"
"177","62.98","22.83","1990","4"
"178","62.98","22.83","1991","4"
"179","62.98","22.83","1992","4"
"180","50.1","20.4","2003","4"
"181","50.1","20.4","2004","4"
"182","50.1","20.4","2005","4"
"183","50.1","20.4","2006","4"
"184","52.45","7.25","1993","4"
"185","52.45","7.25","1995","4"
"186","52.45","7.25","1996","4"
"187","41.07","-3.45","2005","4"
"188","41.07","-3.45","2006","4"
"189","60.42","22.17","2005","5"
"190","60.42","22.17","2006","5"
"191","-0.42","-90.37","1987","1"
"192","-0.42","-90.37","1991","1"
"193","37.22","-80.42","2009","4"
"194","37.22","-80.42","2010","4"
"195","37.12","138.02","2005","4"
"196","37.12","138.02","2006","4"
"197","35.22","139.88","2006","4"
"198","35.22","139.88","2007","4"
"199","41.77","-79.93","2002","5"
"200","41.77","-79.93","2003","5"
"201","41.77","-79.93","2004","5"
"202","36.37","-121.55","1994","3"
"203","36.37","-121.55","1995","3"
"204","51.9","11","2003","5"
"205","51.9","11","2004","5"
"206","51.9","11","2005","5"
"207","59.83","-136.33","1987","6"
"208","59.83","-136.33","1988","6"
"209","59.83","-136.33","1989","6"
"210","59.83","-136.33","1992","6"
"211","48.68","-113.72","1996","5"
"212","48.68","-113.72","1997","5"
"213","48.68","-113.72","1998","5"
"214","40.63","-8.68","2002","3"
"215","40.63","-8.68","2003","3"
"216","40.63","-8.68","2005","3"
"217","40.63","-8.68","2006","3"
"218","40.63","-8.68","2007","3"
"219","40.63","-8.68","2008","3"
"220","62.42","8.87","1991","5"
"221","62.42","8.87","1992","5"
"222","62.42","8.87","1993","5"
"223","62.42","8.87","1994","5"
"224","62.42","8.87","1995","5"
"225","62.42","8.87","1996","5"
"226","62.42","8.87","1997","5"
"227","62.42","8.87","1998","5"
"228","62.42","8.87","1999","5"
"229","62.42","8.87","2000","5"
"230","-36.6","174.88","2004","9"
"231","-36.6","174.88","2005","9"
"232","-36.6","174.88","2006","9"
"233","-36.6","174.88","2007","9"
"234","-36.6","174.88","2008","9"
"235","-36.6","174.88","2009","9"
"236","-36.6","174.88","2010","9"
"237","49.5","8.17","2005","4"
"238","49.5","8.17","2006","4"
"239","37.53","127.03","2005","4"
"240","37.53","127.03","2006","4"
